mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text
1	1	0	0	3/4	1	1	1/4		1/4	1	0			
1	1	1/4	1/4	3/4	1	1	0					p		
1	1	1/4	1/4	3/4	1	1	1/8		1/8	1	1			
1	1	3/8	3/8	3/4	1	1	1/16		1/16	1	2			
1	1	7/16	7/16	3/4	1	1	1/16		1/16	1	3			
1	1	1/2	1/2	3/4	1	1	1/8		1/8	1	4		articStaccatoBelow	
1	1	5/8	5/8	3/4	1	1	1/8		1/8	1	5		articStaccatoBelow	
1	1	0	0	3/4	2	1	1/4		1/4	1	6			
1	1	1/4	1/4	3/4	2	1	0					p		
1	1	1/4	1/4	3/4	2	1	1/8		1/8	1	7			
1	1	3/8	3/8	3/4	2	1	1/16		1/16	1	8			
1	1	7/16	7/16	3/4	2	1	1/16		1/16	1	9			
1	1	1/2	1/2	3/4	2	1	1/8		1/8	1	10		articStaccatoBelow	
1	1	5/8	5/8	3/4	2	1	1/8		1/8	1	11		articStaccatoBelow	
1	1	0	0	3/4	3	1	1/4		1/4	1	12			
1	1	1/4	1/4	3/4	3	1	0					p		
1	1	1/4	1/4	3/4	3	1	1/8		1/8	1	13			
1	1	3/8	3/8	3/4	3	1	1/16		1/16	1	14			
1	1	7/16	7/16	3/4	3	1	1/16		1/16	1	15			
1	1	1/2	1/2	3/4	3	1	1/8		1/8	1	16		articStaccatoBelow	
1	1	5/8	5/8	3/4	3	1	1/8		1/8	1	17		articStaccatoBelow	
1	1	0	0	3/4	4	1	1/4		1/4	1	18			
1	1	1/4	1/4	3/4	4	1	0					p		
1	1	1/4	1/4	3/4	4	1	1/8		1/8	1	19			
1	1	3/8	3/8	3/4	4	1	1/16		1/16	1	20			
1	1	7/16	7/16	3/4	4	1	1/16		1/16	1	21			
1	1	1/2	1/2	3/4	4	1	1/8		1/8	1	22		articStaccatoAbove	
1	1	5/8	5/8	3/4	4	1	1/8		1/8	1	23		articStaccatoAbove	
2	2	0	0	3/4	1	1	1/4		1/4	1	24			
2	2	0	0	3/4	2	1	1/4		1/4	1	25			
2	2	0	0	3/4	3	1	1/4		1/4	1	26			
2	2	0	0	3/4	4	1	1/4		1/4	1	27			
3	3	0	0	3/4	1	1	1/4		1/4	1	28			
3	3	1/4	1/4	3/4	1	1	1/8		1/8	1	29			
3	3	3/8	3/8	3/4	1	1	1/16		1/16	1	30			
3	3	7/16	7/16	3/4	1	1	1/16		1/16	1	31			
3	3	1/2	1/2	3/4	1	1	1/8		1/8	1	32		articStaccatoBelow	
3	3	5/8	5/8	3/4	1	1	1/8		1/8	1	33		articStaccatoBelow	
3	3	0	0	3/4	2	1	1/4		1/4	1	34			
3	3	1/4	1/4	3/4	2	1	1/8		1/8	1	35			
3	3	3/8	3/8	3/4	2	1	1/16		1/16	1	36			
3	3	7/16	7/16	3/4	2	1	1/16		1/16	1	37			
3	3	1/2	1/2	3/4	2	1	1/8		1/8	1	38		articStaccatoBelow	
3	3	5/8	5/8	3/4	2	1	1/8		1/8	1	39		articStaccatoBelow	
3	3	0	0	3/4	3	1	1/4		1/4	1	40			
3	3	1/4	1/4	3/4	3	1	1/8		1/8	1	41			
3	3	3/8	3/8	3/4	3	1	1/16		1/16	1	42			
3	3	7/16	7/16	3/4	3	1	1/16		1/16	1	43			
3	3	1/2	1/2	3/4	3	1	1/8		1/8	1	44		articStaccatoBelow	
3	3	5/8	5/8	3/4	3	1	1/8		1/8	1	45		articStaccatoBelow	
3	3	0	0	3/4	4	1	1/4		1/4	1	46			
3	3	1/4	1/4	3/4	4	1	1/8		1/8	1	47			
3	3	3/8	3/8	3/4	4	1	1/16		1/16	1	48			
3	3	7/16	7/16	3/4	4	1	1/16		1/16	1	49			
3	3	1/2	1/2	3/4	4	1	1/8		1/8	1	50		articStaccatoAbove	
3	3	5/8	5/8	3/4	4	1	1/8		1/8	1	51		articStaccatoAbove	
4	4	0	0	3/4	1	1	1/4		1/4	1	52			
4	4	0	0	3/4	2	1	1/4		1/4	1	53			
4	4	0	0	3/4	3	1	1/4		1/4	1	54			
4	4	0	0	3/4	4	1	1/4		1/4	1	55			
5	5	0	0	3/4	1	1	1/4		1/4	1	56			
5	5	1/4	1/4	3/4	1	1	1/8		1/8	1	57			
5	5	3/8	3/8	3/4	1	1	1/16		1/16	1	58			
5	5	7/16	7/16	3/4	1	1	1/16		1/16	1	59			
5	5	1/2	1/2	3/4	1	1	1/8		1/8	1	60		articStaccatoAbove	
5	5	5/8	5/8	3/4	1	1	1/8		1/8	1	61		articStaccatoAbove	
5	5	0	0	3/4	2	1	3/4		1/2	3/2	62			
5	5	0	0	3/4	3	1	3/4		1/2	3/2	63			
5	5	0	0	3/4	4	1	3/4		1/2	3/2	64			
6	6	0	0	3/4	1	1	1/2		1/2	1	65			
6	6	1/2	1/2	3/4	1	1	1/4		1/4	1	66			
6	6	0	0	3/4	2	1	1/2		1/2	1	67			
6	6	1/2	1/2	3/4	2	1	1/4		1/4	1	68			
6	6	0	0	3/4	3	1	3/4		1/2	3/2	69			
6	6	0	0	3/4	4	1	3/4		1/2	3/2	70			
7	7	0	0	3/4	1	1	1/2		1/2	1	71			
7	7	1/2	1/2	3/4	1	1	3/16		1/8	3/2	72			
7	7	11/16	11/16	3/4	1	1	1/16		1/16	1	73			
7	7	0	0	3/4	2	1	1/2		1/2	1	74			
7	7	1/2	1/2	3/4	2	1	3/16		1/8	3/2	75			
7	7	11/16	11/16	3/4	2	1	1/16		1/16	1	76			
7	7	0	0	3/4	3	1	1/4		1/4	1	77			
7	7	1/4	1/4	3/4	3	1	1/4		1/4	1	78			
7	7	1/2	1/2	3/4	3	1	1/4		1/4	1	79			
7	7	0	0	3/4	4	1	1/4		1/4	1	80			
7	7	1/4	1/4	3/4	4	1	1/4		1/4	1	81			
7	7	1/2	1/2	3/4	4	1	1/4		1/4	1	82			
8	8	0	0	3/4	1	1	1/2		1/2	1	83			
8	8	1/2	1/2	3/4	1	1	1/4		1/4	1	84			
8	8	0	0	3/4	2	1	1/2		1/2	1	85			
8	8	1/2	1/2	3/4	2	1	1/4		1/4	1	86			
8	8	0	0	3/4	3	1	1/8		1/8	1	87			
8	8	1/8	1/8	3/4	3	1	1/8		1/8	1	88			
8	8	1/4	1/4	3/4	3	1	1/8		1/8	1	89			
8	8	3/8	3/8	3/4	3	1	1/8		1/8	1	90			
8	8	1/2	1/2	3/4	3	1	1/4		1/4	1	91			
8	8	0	0	3/4	4	1	3/4		1/2	3/2	92			
9	9	0	0	3/4	1	1	1/4		1/4	1	93			
9	9	1/4	1/4	3/4	1	1	0					f		
9	9	1/4	1/4	3/4	1	1	1/8		1/8	1	94			
9	9	3/8	3/8	3/4	1	1	1/16		1/16	1	95			
9	9	7/16	7/16	3/4	1	1	1/16		1/16	1	96			
9	9	1/2	1/2	3/4	1	1	1/8		1/8	1	97		articStaccatoBelow	
9	9	5/8	5/8	3/4	1	1	1/8		1/8	1	98		articStaccatoBelow	
9	9	0	0	3/4	2	1	1/4		1/4	1	99			
9	9	1/4	1/4	3/4	2	1	0					f		
9	9	1/4	1/4	3/4	2	1	1/8		1/8	1	100			
9	9	3/8	3/8	3/4	2	1	1/16		1/16	1	101			
9	9	7/16	7/16	3/4	2	1	1/16		1/16	1	102			
9	9	1/2	1/2	3/4	2	1	1/8		1/8	1	103		articStaccatoBelow	
9	9	5/8	5/8	3/4	2	1	1/8		1/8	1	104		articStaccatoBelow	
9	9	0	0	3/4	3	1	1/4		1/4	1	105			
9	9	1/4	1/4	3/4	3	1	0					f		
9	9	1/4	1/4	3/4	3	1	1/8		1/8	1	106			
9	9	3/8	3/8	3/4	3	1	1/16		1/16	1	107			
9	9	7/16	7/16	3/4	3	1	1/16		1/16	1	108			
9	9	1/2	1/2	3/4	3	1	1/8		1/8	1	109		articStaccatoBelow	
9	9	5/8	5/8	3/4	3	1	1/8		1/8	1	110		articStaccatoBelow	
9	9	0	0	3/4	4	1	1/4		1/4	1	111			
9	9	1/4	1/4	3/4	4	1	0					f		
9	9	1/4	1/4	3/4	4	1	1/8		1/8	1	112			
9	9	3/8	3/8	3/4	4	1	1/16		1/16	1	113			
9	9	7/16	7/16	3/4	4	1	1/16		1/16	1	114			
9	9	1/2	1/2	3/4	4	1	1/8		1/8	1	115		articStaccatoAbove	
9	9	5/8	5/8	3/4	4	1	1/8		1/8	1	116		articStaccatoAbove	
10	10	0	0	3/4	1	1	1/4		1/4	1	117			
10	10	0	0	3/4	2	1	1/4		1/4	1	118			
10	10	0	0	3/4	3	1	1/4		1/4	1	119			
10	10	0	0	3/4	4	1	1/4		1/4	1	120			
11	11	0	0	3/4	1	1	1/4		1/4	1	121			
11	11	1/4	1/4	3/4	1	1	1/8		1/8	1	122			
11	11	3/8	3/8	3/4	1	1	1/16		1/16	1	123			
11	11	7/16	7/16	3/4	1	1	1/16		1/16	1	124			
11	11	1/2	1/2	3/4	1	1	1/8		1/8	1	125		articStaccatoBelow	
11	11	5/8	5/8	3/4	1	1	1/8		1/8	1	126		articStaccatoBelow	
11	11	0	0	3/4	2	1	1/4		1/4	1	127			
11	11	1/4	1/4	3/4	2	1	1/8		1/8	1	128			
11	11	3/8	3/8	3/4	2	1	1/16		1/16	1	129			
11	11	7/16	7/16	3/4	2	1	1/16		1/16	1	130			
11	11	1/2	1/2	3/4	2	1	1/8		1/8	1	131		articStaccatoBelow	
11	11	5/8	5/8	3/4	2	1	1/8		1/8	1	132		articStaccatoBelow	
11	11	0	0	3/4	3	1	1/4		1/4	1	133			
11	11	1/4	1/4	3/4	3	1	1/8		1/8	1	134			
11	11	3/8	3/8	3/4	3	1	1/16		1/16	1	135			
11	11	7/16	7/16	3/4	3	1	1/16		1/16	1	136			
11	11	1/2	1/2	3/4	3	1	1/8		1/8	1	137		articStaccatoBelow	
11	11	5/8	5/8	3/4	3	1	1/8		1/8	1	138		articStaccatoBelow	
11	11	0	0	3/4	4	1	1/4		1/4	1	139			
11	11	1/4	1/4	3/4	4	1	1/8		1/8	1	140			
11	11	3/8	3/8	3/4	4	1	1/16		1/16	1	141			
11	11	7/16	7/16	3/4	4	1	1/16		1/16	1	142			
11	11	1/2	1/2	3/4	4	1	1/8		1/8	1	143		articStaccatoAbove	
11	11	5/8	5/8	3/4	4	1	1/8		1/8	1	144		articStaccatoAbove	
12	12	0	0	3/4	1	1	1/4		1/4	1	145			
12	12	0	0	3/4	2	1	1/4		1/4	1	146			
12	12	0	0	3/4	3	1	1/4		1/4	1	147			
12	12	0	0	3/4	4	1	1/4		1/4	1	148			
13	13	0	0	3/4	1	1	1/4		1/4	1	149			
13	13	1/4	1/4	3/4	1	1	0					p		
13	13	1/4	1/4	3/4	1	1	1/8		1/8	1	150			
13	13	3/8	3/8	3/4	1	1	1/16		1/16	1	151			
13	13	7/16	7/16	3/4	1	1	1/16		1/16	1	152			
13	13	1/2	1/2	3/4	1	1	1/8		1/8	1	153		articStaccatoAbove	
13	13	5/8	5/8	3/4	1	1	1/8		1/8	1	154		articStaccatoAbove	
14	14	0	0	3/4	1	1	0					p		
14	14	0	0	3/4	1	1	1/2		1/2	1	155			
14	14	1/2	1/2	3/4	1	1	1/4		1/4	1	156			
14	14	0	0	3/4	2	1	0					p		
14	14	0	0	3/4	2	1	3/4		1/2	3/2	157			
14	14	0	0	3/4	3	1	0					p		
14	14	0	0	3/4	3	1	3/4		1/2	3/2	158			
14	14	0	0	3/4	4	1	3/4		1/2	3/2	159			
15	15	0	0	3/4	1	1	1/4		1/4	1	160			
15	15	1/4	1/4	3/4	1	1	1/8		1/8	1	161			
15	15	3/8	3/8	3/4	1	1	1/16		1/16	1	162			
15	15	7/16	7/16	3/4	1	1	1/16		1/16	1	163			
15	15	1/2	1/2	3/4	1	1	1/8		1/8	1	164		articStaccatoAbove	
15	15	5/8	5/8	3/4	1	1	1/8		1/8	1	165		articStaccatoAbove	
16	16	0	0	3/4	1	1	1/2		1/2	1	166			
16	16	1/2	1/2	3/4	1	1	1/4		1/4	1	167			
16	16	0	0	3/4	2	1	3/4		1/2	3/2	168			
16	16	0	0	3/4	3	1	3/4		1/2	3/2	169			
16	16	0	0	3/4	4	1	3/4		1/2	3/2	170			
17	17	0	0	3/4	1	1	1/4		1/4	1	171			
17	17	1/4	1/4	3/4	1	1	1/8		1/8	1	172			
17	17	3/8	3/8	3/4	1	1	1/16		1/16	1	173			
17	17	7/16	7/16	3/4	1	1	1/16		1/16	1	174			
17	17	1/2	1/2	3/4	1	1	1/8		1/8	1	175		articStaccatoAbove	
17	17	5/8	5/8	3/4	1	1	1/8		1/8	1	176		articStaccatoAbove	
18	18	0	0	3/4	1	1	0							
18	18	0	0	3/4	1	1	3/8		1/4	3/2	177			
18	18	3/8	3/8	3/4	1	1	1/8		1/8	1	178			
18	18	1/2	1/2	3/4	1	1	1/8		1/8	1	179			
18	18	5/8	5/8	3/4	1	1	1/8		1/8	1	180			
18	18	0	0	3/4	2	1	0							
18	18	0	0	3/4	2	1	3/8		1/4	3/2	181			
18	18	3/8	3/8	3/4	2	1	1/8		1/8	1	182			
18	18	1/2	1/2	3/4	2	1	1/8		1/8	1	183			
18	18	5/8	5/8	3/4	2	1	1/8		1/8	1	184			
18	18	0	0	3/4	3	1	0							
18	18	0	0	3/4	3	1	3/8		1/4	3/2	185			
18	18	3/8	3/8	3/4	3	1	1/8		1/8	1	186			
18	18	1/2	1/2	3/4	3	1	1/8		1/8	1	187			
18	18	5/8	5/8	3/4	3	1	1/8		1/8	1	188			
18	18	0	0	3/4	4	1	0							
18	18	0	0	3/4	4	1	3/8		1/4	3/2	189			
18	18	3/8	3/8	3/4	4	1	1/8		1/8	1	190		articTenutoAbove	
