mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	system_text
1	1	0	0	2/4	1	1	0					p			
1	1	0	0	2/4	1	1	1/24		1/16	2/3	0				
1	1	1/24	1/24	2/4	1	1	1/24		1/16	2/3	1				
1	1	1/12	1/12	2/4	1	1	1/24		1/16	2/3	2				
1	1	1/8	1/8	2/4	1	1	1/24		1/16	2/3	3				
1	1	1/6	1/6	2/4	1	1	1/24		1/16	2/3	4				
1	1	5/24	5/24	2/4	1	1	1/24		1/16	2/3	5				
1	1	1/4	1/4	2/4	1	1	1/24		1/16	2/3	6				
1	1	7/24	7/24	2/4	1	1	1/24		1/16	2/3	7				
1	1	1/3	1/3	2/4	1	1	1/24		1/16	2/3	8				
1	1	3/8	3/8	2/4	1	1	1/24		1/16	2/3	9				
1	1	5/12	5/12	2/4	1	1	1/24		1/16	2/3	10				
1	1	11/24	11/24	2/4	1	1	1/24		1/16	2/3	11				
2	2	0	0	2/4	1	1	1/8		1/8	1	12		articStaccatoBelow		
2	2	1/8	1/8	2/4	1	1	1/8		1/8	1	13		articStaccatoBelow		
2	2	1/4	1/4	2/4	1	1	1/8		1/8	1	14		articStaccatoBelow		
2	2	0	0	2/4	2	1	0					p			
2	2	0	0	2/4	2	1	1/8		1/8	1	15		articStaccatoBelow		
2	2	1/8	1/8	2/4	2	1	1/8		1/8	1	16		articStaccatoBelow		
2	2	1/4	1/4	2/4	2	1	1/8		1/8	1	17		articStaccatoBelow		
2	2	0	0	2/4	3	1	0					p			
2	2	0	0	2/4	3	1	1/8		1/8	1	18		articStaccatoBelow		
2	2	1/8	1/8	2/4	3	1	1/8		1/8	1	19		articStaccatoBelow		
2	2	1/4	1/4	2/4	3	1	1/8		1/8	1	20		articStaccatoBelow		
2	2	0	0	2/4	4	1	1/8		1/8	1	21		articStaccatoBelow		
2	2	1/8	1/8	2/4	4	1	0					p			
2	2	1/8	1/8	2/4	4	1	1/8		1/8	1	22		articStaccatoBelow		
2	2	1/4	1/4	2/4	4	1	1/8		1/8	1	23		articStaccatoBelow		
3	3	0	0	2/4	1	1	1/24		1/16	2/3	24				
3	3	1/24	1/24	2/4	1	1	1/24		1/16	2/3	25				
3	3	1/12	1/12	2/4	1	1	1/24		1/16	2/3	26				
3	3	1/8	1/8	2/4	1	1	1/24		1/16	2/3	27				
3	3	1/6	1/6	2/4	1	1	1/24		1/16	2/3	28				
3	3	5/24	5/24	2/4	1	1	1/24		1/16	2/3	29				
3	3	1/4	1/4	2/4	1	1	1/24		1/16	2/3	30				
3	3	7/24	7/24	2/4	1	1	1/24		1/16	2/3	31				
3	3	1/3	1/3	2/4	1	1	1/24		1/16	2/3	32				
3	3	3/8	3/8	2/4	1	1	1/24		1/16	2/3	33				
3	3	5/12	5/12	2/4	1	1	1/24		1/16	2/3	34				
3	3	11/24	11/24	2/4	1	1	1/24		1/16	2/3	35				
4	4	0	0	2/4	1	1	1/8		1/8	1	36		articStaccatoBelow		
4	4	1/8	1/8	2/4	1	1	1/8		1/8	1	37		articStaccatoBelow		
4	4	1/4	1/4	2/4	1	1	1/8		1/8	1	38		articStaccatoBelow		
4	4	0	0	2/4	2	1	1/8		1/8	1	39		articStaccatoBelow		
4	4	1/8	1/8	2/4	2	1	1/8		1/8	1	40		articStaccatoBelow		
4	4	1/4	1/4	2/4	2	1	1/8		1/8	1	41		articStaccatoBelow		
4	4	0	0	2/4	3	1	1/8		1/8	1	42		articStaccatoBelow		
4	4	1/8	1/8	2/4	3	1	1/8		1/8	1	43		articStaccatoBelow		
4	4	1/4	1/4	2/4	3	1	1/8		1/8	1	44		articStaccatoBelow		
4	4	0	0	2/4	4	1	1/8		1/8	1	45		articStaccatoBelow		
4	4	1/8	1/8	2/4	4	1	1/8		1/8	1	46		articStaccatoBelow		
4	4	1/4	1/4	2/4	4	1	1/8		1/8	1	47		articStaccatoBelow		
5	5	0	0	2/4	1	1	1/24		1/16	2/3	48				
5	5	1/24	1/24	2/4	1	1	1/24		1/16	2/3	49				
5	5	1/12	1/12	2/4	1	1	1/24		1/16	2/3	50				
5	5	1/8	1/8	2/4	1	1	1/24		1/16	2/3	51				
5	5	1/6	1/6	2/4	1	1	1/24		1/16	2/3	52				
5	5	5/24	5/24	2/4	1	1	1/24		1/16	2/3	53				
5	5	1/4	1/4	2/4	1	1	1/8		1/8	1	54				
5	5	3/8	3/8	2/4	1	1	1/16		1/16	1	55				
5	5	1/8	1/8	2/4	2	1	1/8		1/8	1	56				
5	5	1/4	1/4	2/4	2	1	1/8		1/8	1	57				
5	5	3/8	3/8	2/4	2	1	1/8		1/8	1	58				
5	5	1/8	1/8	2/4	3	1	1/4		1/4	1	59				
5	5	3/8	3/8	2/4	3	1	1/8		1/8	1	60				
5	5	1/8	1/8	2/4	4	1	1/8		1/8	1	61				
5	5	1/4	1/4	2/4	4	1	1/8		1/8	1	62				
5	5	3/8	3/8	2/4	4	1	1/8		1/8	1	63		articStaccatoBelow		
6	6	0	0	2/4	1	1	1/24		1/16	2/3	64				
6	6	1/24	1/24	2/4	1	1	1/24		1/16	2/3	65				
6	6	1/12	1/12	2/4	1	1	1/24		1/16	2/3	66				
6	6	1/8	1/8	2/4	1	1	1/24		1/16	2/3	67				
6	6	1/6	1/6	2/4	1	1	1/24		1/16	2/3	68				
6	6	5/24	5/24	2/4	1	1	1/24		1/16	2/3	69				
6	6	1/4	1/4	2/4	1	1	1/8		1/8	1	70				
6	6	3/8	3/8	2/4	1	1	1/16		1/16	1	71				
6	6	1/8	1/8	2/4	2	1	1/8		1/8	1	72				
6	6	1/4	1/4	2/4	2	1	1/8		1/8	1	73				
6	6	3/8	3/8	2/4	2	1	1/8		1/8	1	74				
6	6	1/8	1/8	2/4	3	1	1/4		1/4	1	75				
6	6	3/8	3/8	2/4	3	1	1/8		1/8	1	76				
6	6	1/8	1/8	2/4	4	1	1/8		1/8	1	77				
6	6	1/4	1/4	2/4	4	1	1/8		1/8	1	78				
6	6	3/8	3/8	2/4	4	1	1/8		1/8	1	79		articStaccatoBelow		
7	7	0	0	2/4	1	1	1/24		1/16	2/3	80				
7	7	1/24	1/24	2/4	1	1	1/24		1/16	2/3	81				
7	7	1/12	1/12	2/4	1	1	1/24		1/16	2/3	82				
7	7	1/8	1/8	2/4	1	1	1/24		1/16	2/3	83				
7	7	1/6	1/6	2/4	1	1	1/24		1/16	2/3	84				
7	7	5/24	5/24	2/4	1	1	1/24		1/16	2/3	85				
7	7	1/4	1/4	2/4	1	1	1/8		1/8	1	86				
7	7	3/8	3/8	2/4	1	1	1/16		1/16	1	87				
7	7	1/8	1/8	2/4	2	1	1/8		1/8	1	88				
7	7	1/4	1/4	2/4	2	1	1/8		1/8	1	89				
7	7	3/8	3/8	2/4	2	1	1/8		1/8	1	90				
7	7	1/8	1/8	2/4	3	1	1/4		1/4	1	91				
7	7	3/8	3/8	2/4	3	1	1/8		1/8	1	92				
7	7	1/8	1/8	2/4	4	1	1/8		1/8	1	93				
7	7	1/4	1/4	2/4	4	1	1/8		1/8	1	94				
7	7	3/8	3/8	2/4	4	1	1/8		1/8	1	95				
8	8	0	0	2/4	1	1	1/8		1/8	1	96				
8	8	1/8	1/8	2/4	1	1	1/16		1/16	1	97				
8	8	3/16	3/16	2/4	1	1	1/16		1/16	1	98				
8	8	1/4	1/4	2/4	1	1	1/8		1/8	1	99				
8	8	0	0	2/4	2	1	1/8		1/8	1	100				
8	8	1/8	1/8	2/4	2	1	1/8		1/8	1	101				
8	8	1/4	1/4	2/4	2	1	1/8		1/8	1	102				
8	8	0	0	2/4	3	1	1/8		1/8	1	103				
8	8	1/8	1/8	2/4	3	1	1/8		1/8	1	104				
8	8	1/4	1/4	2/4	3	1	1/8		1/8	1	105				
8	8	0	0	2/4	4	1	1/8		1/8	1	106		articStaccatoBelow		
8	8	1/8	1/8	2/4	4	1	1/8		1/8	1	107		articStaccatoBelow		
8	8	1/4	1/4	2/4	4	1	1/8		1/8	1	108		articStaccatoBelow		
9	9	0	0	2/4	3	1	1/24		1/16	2/3	109				
9	9	1/24	1/24	2/4	3	1	1/24		1/16	2/3	110				
9	9	1/12	1/12	2/4	3	1	1/24		1/16	2/3	111				
9	9	1/8	1/8	2/4	3	1	1/24		1/16	2/3	112				
9	9	1/6	1/6	2/4	3	1	1/24		1/16	2/3	113				
9	9	5/24	5/24	2/4	3	1	1/24		1/16	2/3	114				
9	9	1/4	1/4	2/4	3	1	1/24		1/16	2/3	115				
9	9	7/24	7/24	2/4	3	1	1/24		1/16	2/3	116				
9	9	1/3	1/3	2/4	3	1	1/24		1/16	2/3	117				
9	9	3/8	3/8	2/4	3	1	1/24		1/16	2/3	118				
9	9	5/12	5/12	2/4	3	1	1/24		1/16	2/3	119				
9	9	11/24	11/24	2/4	3	1	1/24		1/16	2/3	120				
10	10	1/4	1/4	2/4	1	1	1/8		1/8	1	121		articStaccatoAbove		
10	10	3/8	3/8	2/4	1	1	1/8		1/8	1	122		articStaccatoAbove		
10	10	0	0	2/4	2	1	1/8		1/8	1	123		articStaccatoBelow		
10	10	1/8	1/8	2/4	2	1	1/8		1/8	1	124		articStaccatoBelow		
10	10	1/4	1/4	2/4	2	1	1/8		1/8	1	125		articStaccatoBelow		
10	10	0	0	2/4	3	1	1/8		1/8	1	126		articStaccatoBelow		
10	10	1/8	1/8	2/4	3	1	1/8		1/8	1	127		articStaccatoBelow		
10	10	1/4	1/4	2/4	3	1	1/8		1/8	1	128		articStaccatoBelow		
10	10	0	0	2/4	4	1	1/8		1/8	1	129		articStaccatoBelow		
