mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm
1	1	0	0	2/4	1	1	0					p				
1	1	0	0	2/4	1	1	0								Allegro	120
1	1	0	0	2/4	1	1	1/4		1/4	1	0					
1	1	1/4	1/4	2/4	1	1	1/32		1/32	1	1					
1	1	9/32	9/32	2/4	1	1	1/32		1/32	1	2					
1	1	5/16	5/16	2/4	1	1	1/32		1/32	1	3					
1	1	11/32	11/32	2/4	1	1	1/32		1/32	1	4					
1	1	3/8	3/8	2/4	1	1	1/32		1/32	1	5					
1	1	13/32	13/32	2/4	1	1	1/32		1/32	1	6					
1	1	7/16	7/16	2/4	1	1	1/32		1/32	1	7					
1	1	15/32	15/32	2/4	1	1	1/32		1/32	1	8					
1	1	0	0	2/4	2	1	0					p				
1	1	0	0	2/4	2	1	1/2		1/2	1	9					
1	1	0	0	2/4	3	1	0					p				
1	1	0	0	2/4	3	1	1/2		1/2	1	10					
1	1	0	0	2/4	4	1	0					p				
1	1	0	0	2/4	4	1	1/2		1/2	1	11					
2	2	0	0	2/4	1	1	1/4		1/4	1	12					
2	2	15/32	15/32	2/4	1	1	1/32		1/32	1	13					
2	2	0	0	2/4	2	1	1/4		1/4	1	14					
2	2	15/32	15/32	2/4	2	1	1/32		1/32	1	15					
2	2	0	0	2/4	3	1	1/4		1/4	1	16					
2	2	15/32	15/32	2/4	3	1	1/32		1/32	1	17					
2	2	0	0	2/4	4	1	1/4		1/4	1	18					
2	2	15/32	15/32	2/4	4	1	1/32		1/32	1	19					
3	3	0	0	2/4	1	1	0	acciaccatura	1/8	1	20					
3	3	0	0	2/4	1	1	1/8		1/8	1	21					
3	3	7/32	7/32	2/4	1	1	1/32		1/32	1	22					
3	3	1/4	1/4	2/4	1	1	1/8		1/8	1	23					
3	3	15/32	15/32	2/4	1	1	1/32		1/32	1	24					
3	3	0	0	2/4	2	1	1/8		1/8	1	25					
3	3	7/32	7/32	2/4	2	1	1/32		1/32	1	26					
3	3	1/4	1/4	2/4	2	1	1/8		1/8	1	27					
3	3	15/32	15/32	2/4	2	1	1/32		1/32	1	28					
3	3	0	0	2/4	3	1	1/8		1/8	1	29					
3	3	7/32	7/32	2/4	3	1	1/32		1/32	1	30					
3	3	1/4	1/4	2/4	3	1	1/8		1/8	1	31					
3	3	15/32	15/32	2/4	3	1	1/32		1/32	1	32					
3	3	0	0	2/4	4	1	1/8		1/8	1	33					
3	3	7/32	7/32	2/4	4	1	1/32		1/32	1	34					
3	3	1/4	1/4	2/4	4	1	1/8		1/8	1	35					
3	3	15/32	15/32	2/4	4	1	1/32		1/32	1	36					
4	4	0	0	2/4	1	1	1/4		1/4	1	37					
4	4	3/8	3/8	2/4	1	1	1/8		1/8	1	38					
4	4	0	0	2/4	2	1	1/4		1/4	1	39					
4	4	0	0	2/4	3	1	1/4		1/4	1	40					
4	4	0	0	2/4	4	1	1/4		1/4	1	41					
5	5	0	0	2/4	1	1	1/8		1/8	1	42					
5	5	1/8	1/8	2/4	1	1	1/8		1/8	1	43					
5	5	1/4	1/4	2/4	1	1	1/16		1/16	1	44					
5	5	5/16	5/16	2/4	1	1	1/16		1/16	1	45					
5	5	3/8	3/8	2/4	1	1	1/16		1/16	1	46					
