mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	Trill:trill
1	1	0	0	2/4	1	1	0								𝅘𝅥 = 50	50	
1	1	0	0	2/4	1	1	0							Andante con moto			
1	1	0	0	2/4	1	1	0					p					
1	1	0	0	2/4	1	1	0							Andante con moto			
1	1	0	0	2/4	1	1	1/4		1/4	1	0						
1	1	1/4	1/4	2/4	1	1	1/8		1/8	1	1						
1	1	3/8	3/8	2/4	1	1	1/8		1/8	1	2						
1	1	0	0	2/4	2	1	0					p					
1	1	0	0	2/4	2	1	0					p					
1	1	0	0	2/4	2	1	1/8		1/8	1	3						
1	1	1/8	1/8	2/4	2	1	1/8		1/8	1	4						
1	1	1/4	1/4	2/4	2	1	1/8		1/8	1	5						
1	1	3/8	3/8	2/4	2	1	1/8		1/8	1	6						
1	1	0	0	2/4	3	1	0					p					
1	1	0	0	2/4	3	1	1/4		1/4	1	7						
1	1	1/4	1/4	2/4	3	1	1/8		1/8	1	8						
1	1	3/8	3/8	2/4	3	1	1/8		1/8	1	9						
1	1	0	0	2/4	4	1	0					p					
1	1	0	0	2/4	4	1	1/4		1/4	1	10						
1	1	1/4	1/4	2/4	4	1	1/8		1/8	1	11						
1	1	3/8	3/8	2/4	4	1	1/8		1/8	1	12						
2	2	0	0	2/4	1	1	1/4		1/4	1	13						
2	2	1/4	1/4	2/4	1	1	1/8		1/8	1	14						
2	2	3/8	3/8	2/4	1	1	1/8		1/8	1	15						
2	2	0	0	2/4	2	1	1/8		1/8	1	16						
2	2	1/8	1/8	2/4	2	1	1/8		1/8	1	17						
2	2	1/4	1/4	2/4	2	1	1/8		1/8	1	18						
2	2	3/8	3/8	2/4	2	1	1/8		1/8	1	19						
2	2	0	0	2/4	3	1	1/4		1/4	1	20						
2	2	1/4	1/4	2/4	3	1	1/8		1/8	1	21						
2	2	3/8	3/8	2/4	3	1	1/8		1/8	1	22						
2	2	0	0	2/4	4	1	3/16		1/8	3/2	23						
2	2	3/16	3/16	2/4	4	1	1/16		1/16	1	24						
2	2	1/4	1/4	2/4	4	1	1/8		1/8	1	25						
2	2	3/8	3/8	2/4	4	1	1/8		1/8	1	26						
