mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	Trill:trill
1	1	0	0	3/8	1	1	0							Andante scherzoso quasi Allegretto	
1	1	0	0	3/8	2	1	0					pp			
1	1	0	0	3/8	2	1	1/8		1/8	1	0				
1	1	1/8	1/8	3/8	2	1	1/8		1/8	1	1				
1	1	1/4	1/4	3/8	2	1	1/8		1/8	1	2				
2	2	0	0	3/8	2	1	1/8		1/8	1	3				
2	2	1/8	1/8	3/8	2	1	1/8		1/8	1	4				
2	2	1/4	1/4	3/8	2	1	1/16		1/16	1	5				
2	2	5/16	5/16	3/8	2	1	1/16		1/16	1	6				
3	3	0	0	3/8	2	1	1/16		1/16	1	7				
3	3	1/16	1/16	3/8	2	1	1/16		1/16	1	8				
3	3	1/8	1/8	3/8	2	1	1/16		1/16	1	9				
3	3	3/16	3/16	3/8	2	1	1/16		1/16	1	10				
3	3	1/4	1/4	3/8	2	1	1/16		1/16	1	11				
3	3	5/16	5/16	3/8	2	1	1/16		1/16	1	12				
4	4	0	0	3/8	2	1	1/8		1/8	1	13				
4	4	1/8	1/8	3/8	2	1	1/8		1/8	1	14				
4	4	1/4	1/4	3/8	2	1	1/8		1/8	1	15				
5	5	0	0	3/8	2	1	1/8		1/8	1	16				
5	5	1/8	1/8	3/8	2	1	1/8		1/8	1	17				
5	5	1/4	1/4	3/8	2	1	0					sf			
5	5	1/4	1/4	3/8	2	1	1/8		1/8	1	18				
6	6	0	0	3/8	2	1	1/8		1/8	1	19				
6	6	1/8	1/8	3/8	2	1	1/8		1/8	1	20				
6	6	1/4	1/4	3/8	2	1	0					sf			
6	6	1/4	1/4	3/8	2	1	1/8		1/8	1	21				
6	6	0	0	3/8	3	1	0					pp			
6	6	0	0	3/8	3	1	1/8		1/8	1	22				
6	6	1/8	1/8	3/8	3	1	1/8		1/8	1	23				
6	6	1/4	1/4	3/8	3	1	1/8		1/8	1	24				
7	7	0	0	3/8	2	1	1/16		1/16	1	25				
7	7	1/16	1/16	3/8	2	1	1/16		1/16	1	26				
7	7	1/8	1/8	3/8	2	1	1/16		1/16	1	27				
7	7	3/16	3/16	3/8	2	1	1/16		1/16	1	28				
7	7	1/4	1/4	3/8	2	1	1/16		1/16	1	29				
7	7	5/16	5/16	3/8	2	1	1/16		1/16	1	30				
7	7	0	0	3/8	3	1	1/8		1/8	1	31				
7	7	1/8	1/8	3/8	3	1	1/8		1/8	1	32				
7	7	1/4	1/4	3/8	3	1	1/16		1/16	1	33				
7	7	5/16	5/16	3/8	3	1	1/16		1/16	1	34				
8	8	0	0	3/8	2	1	1/16		1/16	1	35				
8	8	1/16	1/16	3/8	2	1	1/16		1/16	1	36				
8	8	1/8	1/8	3/8	2	1	1/16		1/16	1	37				
8	8	3/16	3/16	3/8	2	1	1/16		1/16	1	38				
8	8	1/4	1/4	3/8	2	1	1/16		1/16	1	39				
8	8	5/16	5/16	3/8	2	1	1/16		1/16	1	40				
8	8	0	0	3/8	3	1	1/16		1/16	1	41				
8	8	1/16	1/16	3/8	3	1	1/16		1/16	1	42				
8	8	1/8	1/8	3/8	3	1	1/16		1/16	1	43				
8	8	3/16	3/16	3/8	3	1	1/16		1/16	1	44				
8	8	1/4	1/4	3/8	3	1	1/16		1/16	1	45				
8	8	5/16	5/16	3/8	3	1	1/16		1/16	1	46				
9	9	0	0	3/8	2	1	1/16		1/16	1	47				
9	9	1/16	1/16	3/8	2	1	1/16		1/16	1	48				
9	9	1/8	1/8	3/8	2	1	1/16		1/16	1	49				
9	9	3/16	3/16	3/8	2	1	1/16		1/16	1	50				
9	9	1/4	1/4	3/8	2	1	1/16		1/16	1	51				
9	9	5/16	5/16	3/8	2	1	1/16		1/16	1	52				
9	9	0	0	3/8	3	1	1/8		1/8	1	53				
9	9	1/8	1/8	3/8	3	1	1/8		1/8	1	54				
9	9	1/4	1/4	3/8	3	1	1/8		1/8	1	55				
10	10	0	0	3/8	1	1	0					pp			
10	10	0	0	3/8	1	1	1/8		1/8	1	56				
10	10	1/8	1/8	3/8	1	1	1/8		1/8	1	57				
10	10	1/4	1/4	3/8	1	1	1/8		1/8	1	58				
10	10	0	0	3/8	2	1	1/16		1/16	1	59				
10	10	1/16	1/16	3/8	2	1	1/16		1/16	1	60				
10	10	1/8	1/8	3/8	2	1	1/16		1/16	1	61				
10	10	3/16	3/16	3/8	2	1	1/16		1/16	1	62				
10	10	1/4	1/4	3/8	2	1	1/16		1/16	1	63				
10	10	5/16	5/16	3/8	2	1	1/16		1/16	1	64				
10	10	0	0	3/8	3	1	1/8		1/8	1	65				
10	10	1/8	1/8	3/8	3	1	1/8		1/8	1	66				
10	10	1/4	1/4	3/8	3	1	1/8		1/8	1	67				
11	11	0	0	3/8	1	1	1/8		1/8	1	68				
11	11	1/8	1/8	3/8	1	1	1/8		1/8	1	69				
11	11	1/4	1/4	3/8	1	1	1/16		1/16	1	70				
11	11	5/16	5/16	3/8	1	1	1/16		1/16	1	71				
11	11	0	0	3/8	2	1	1/16		1/16	1	72				
11	11	1/16	1/16	3/8	2	1	1/16		1/16	1	73				
11	11	1/8	1/8	3/8	2	1	1/16		1/16	1	74				
11	11	3/16	3/16	3/8	2	1	1/16		1/16	1	75				
