mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	2/4	4	1	1/2		1/2	1	1	1	55	11
1	1	0	0	2/4	3	1	1/2		1/2	1	1	5	59	10
1	1	0	0	2/4	2	1	1/2		1/2	1	1	2	62	9
1	1	0	0	2/4	1	1	1/4		1/4	1		2	74	0
1	1	1/4	1/4	2/4	1	1	1/32		1/32	1		5	71	1
1	1	9/32	9/32	2/4	1	1	1/32		1/32	1		0	72	2
1	1	5/16	5/16	2/4	1	1	1/32		1/32	1		5	71	3
1	1	11/32	11/32	2/4	1	1	1/32		1/32	1		0	72	4
1	1	3/8	3/8	2/4	1	1	1/32		1/32	1		2	74	5
1	1	13/32	13/32	2/4	1	1	1/32		1/32	1		4	76	6
1	1	7/16	7/16	2/4	1	1	1/32		1/32	1		6	78	7
1	1	15/32	15/32	2/4	1	1	1/32		1/32	1		1	79	8
2	2	0	0	2/4	4	1	1/4		1/4	1	-1	1	55	18
2	2	0	0	2/4	3	1	1/4		1/4	1	-1	5	59	16
2	2	0	0	2/4	2	1	1/4		1/4	1	-1	2	62	14
2	2	0	0	2/4	1	1	1/4		1/4	1		2	74	12
2	2	15/32	15/32	2/4	2	1	1/32		1/32	1		5	59	15
2	2	15/32	15/32	2/4	3	1	1/32		1/32	1		5	59	17
2	2	15/32	15/32	2/4	4	1	1/32		1/32	1		5	59	19
2	2	15/32	15/32	2/4	1	1	1/32		1/32	1		5	71	13
3	3	0	0	2/4	1	1	0	acciaccatura	1/8	1		2	74	20
3	3	0	0	2/4	2	1	1/8		1/8	1		0	60	25
3	3	0	0	2/4	3	1	1/8		1/8	1		0	60	29
3	3	0	0	2/4	4	1	1/8		1/8	1		0	60	33
3	3	0	0	2/4	1	1	1/8		1/8	1		0	72	21
3	3	7/32	7/32	2/4	3	1	1/32		1/32	1		0	60	30
3	3	7/32	7/32	2/4	4	1	1/32		1/32	1		0	60	34
3	3	7/32	7/32	2/4	1	1	1/32		1/32	1		0	72	22
3	3	7/32	7/32	2/4	2	1	1/32		1/32	1		0	72	26
3	3	1/4	1/4	2/4	3	1	1/8		1/8	1		3	57	31
3	3	1/4	1/4	2/4	4	1	1/8		1/8	1		3	57	35
